pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,inici,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared
pared,COFRE,camin,camin,camin,camin,camin,camin,camin,camin,camin,camin,pared,camin,camin,camin,camin,camin,camin,camin,camin,camin,camin,COFRE,pared
pared,pared,pared,pared,pared,camin,pared,pared,pared,camin,pared,camin,pared,camin,camin,pared,camin,camin,camin,pared,pared,pared,pared,camin,pared
pared,camin,camin,camin,pared,camin,pared,camin,camin,camin,pared,camin,pared,pared,camin,pared,camin,pared,camin,pared,camin,camin,camin,camin,pared
pared,camin,pared,pared,pared,camin,pared,camin,pared,camin,pared,camin,camin,pared,camin,pared,camin,pared,camin,pared,camin,pared,pared,pared,pared
pared,camin,camin,camin,camin,camin,pared,pared,pared,camin,pared,pared,camin,pared,pared,pared,camin,pared,camin,pared,pared,pared,camin,camin,pared
pared,camin,pared,pared,pared,pared,pared,camin,pared,camin,camin,pared,camin,camin,camin,camin,camin,pared,camin,camin,camin,camin,camin,camin,pared
pared,camin,pared,camin,camin,camin,camin,camin,pared,pared,camin,pared,pared,pared,camin,pared,pared,pared,pared,pared,pared,camin,pared,pared,pared
pared,camin,pared,camin,pared,pared,pared,pared,pared,camin,camin,camin,camin,pared,camin,camin,camin,camin,camin,camin,camin,camin,camin,camin,pared
pared,camin,pared,camin,pared,camin,camin,camin,camin,pared,camin,pared,camin,pared,camin,pared,camin,pared,pared,pared,pared,camin,pared,camin,pared
pared,camin,camin,pared,camin,camin,pared,camin,camin,pared,camin,pared,camin,camin,camin,pared,camin,pared,camin,camin,camin,camin,pared,camin,pared
pared,pared,camin,pared,pared,camin,pared,pared,camin,pared,camin,pared,pared,pared,pared,pared,camin,pared,pared,pared,pared,pared,pared,camin,pared
pared,camin,camin,camin,pared,camin,pared,camin,camin,pared,camin,camin,camin,camin,pared,camin,camin,camin,camin,camin,camin,camin,pared,camin,pared
pared,camin,pared,camin,pared,camin,pared,camin,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,camin,pared
pared,camin,pared,pared,pared,camin,camin,camin,camin,camin,camin,camin,camin,camin,pared,camin,camin,camin,camin,camin,pared,camin,camin,camin,pared
pared,camin,pared,camin,camin,camin,pared,pared,pared,pared,pared,pared,pared,camin,pared,pared,pared,camin,pared,camin,pared,camin,pared,pared,pared
pared,camin,pared,camin,pared,pared,pared,camin,pared,camin,camin,camin,pared,camin,camin,camin,pared,camin,pared,camin,pared,camin,camin,camin,pared
pared,camin,camin,camin,camin,camin,camin,camin,pared,camin,pared,pared,pared,camin,pared,pared,pared,camin,pared,pared,pared,pared,pared,camin,pared
pared,pared,camin,pared,pared,pared,pared,camin,pared,camin,pared,camin,camin,camin,pared,camin,camin,camin,camin,camin,camin,camin,pared,camin,pared
pared,camin,camin,camin,camin,camin,camin,camin,pared,camin,pared,pared,pared,camin,pared,camin,pared,pared,pared,pared,pared,camin,camin,camin,pared
pared,camin,pared,pared,camin,pared,camin,pared,pared,camin,camin,camin,pared,camin,pared,camin,pared,camin,camin,camin,pared,camin,pared,camin,pared
pared,camin,camin,pared,camin,pared,camin,camin,camin,camin,camin,pared,pared,camin,pared,camin,pared,camin,pared,camin,pared,camin,pared,COFRE,pared
pared,pared,camin,pared,camin,pared,pared,pared,camin,pared,camin,camin,pared,camin,pared,pared,pared,camin,pared,camin,pared,pared,pared,pared,pared
pared,COFRE,camin,camin,camin,camin,camin,camin,camin,pared,pared,camin,pared,camin,camin,camin,camin,camin,pared,camin,camin,camin,camin,camin,final
pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared,pared